,snowboard,carrot,keyboard,cell phone,sports ball,clock,bus,person,surfboard,refrigerator,knife,backpack,dog,cup,bear,tie,banana,baseball glove,tv,microwave,bowl,fork,couch,umbrella,kite,train,remote,cost,oven,bicycle,skis,orange,sink,sheep,spoon,traffic light,airplane,teddy bear,laptop,giraffe,bed,mouse,hair dryer,donut,chair,boat,cake,scissors,stop sign,toilet,book,bench,broccoli,elephant,frisbee,apple,toothbrush,parking meter,bottle,cow,pizza,car,dining table,sandwich,handbag,hot dog,horse,bird,suitcase,skateboard,vase,tennis racket,toaster,zebra,fire hydrant,motorcycle,cat,potted plant,wine glass,baseball bat,truck
model_28,,,0.53,0.48,,,,,,,,,0.57,,0.56,,0.33,,,,0.5,,,,,,,17.0,,,,0.44,,,,,,0.54,,,,,0.0,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.53,,,,,,,,,,0.51,,
model_142,0.64,,,,,,,,,0.52,,,,,,0.57,,,,,,,,,,,,48.0,,,0.6,,,0.67,0.42,,,,,0.82,,,,,0.56,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
model_115,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,26.0,,,,0.58,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,
model_143,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,0.5,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,
model_61,,0.43,,,0.55,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,0.57,,,,,,,,,,,,0.51,,,0.19,,,,,,,,,,0.43,,,,,,,,,0.66,,,,,,,,,,,,,,0.4
model_87,,,,0.56,,0.71,,0.75,,,,,0.73,,0.69,0.58,,,,,,,,0.67,0.68,,,65.0,0.58,0.67,0.59,,,,,0.61,,0.76,,,,0.71,,,,0.59,0.61,0.17,,0.71,,,,,0.71,,0.36,,0.61,,,,,,0.43,,,,,0.77,,0.75,,,0.74,0.76,,,,,
model_90,0.63,,,,,,0.76,0.75,,0.6,,0.44,,0.66,,,,,0.67,,,0.68,,,0.67,0.8,,43.0,0.56,0.67,0.63,,0.64,,0.5,0.62,,,0.71,,0.61,0.77,,,,,,0.17,0.68,0.68,,,0.52,0.87,0.67,0.41,,0.54,,,0.63,0.68,,,,0.49,,0.52,,0.77,0.54,0.78,0.35,0.84,,0.77,,,0.61,0.72,0.49
model_40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,18.0,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
model_110,0.53,0.44,0.55,,,,,0.72,,0.54,,0.29,,,0.7,,,,0.7,,,0.42,0.48,0.59,,0.73,0.53,51.0,0.45,0.54,,0.56,0.61,,,0.56,0.77,,,0.81,0.62,0.68,0.0,0.64,,0.58,0.51,0.19,0.81,0.68,0.31,0.41,,0.82,0.67,0.3,,0.47,,,0.63,0.63,,0.43,,0.51,0.7,,0.54,,,0.62,0.29,0.83,0.64,0.69,0.77,0.51,0.49,0.55,
model_141,0.73,,,0.57,,,,0.78,,,0.56,,,,0.82,,0.54,,0.72,0.67,,,,0.71,,0.86,0.65,60.0,0.63,,,,0.71,,,0.64,0.88,,,0.91,0.7,,,,,,,,,0.77,,,,0.92,,0.37,,,,0.73,,0.7,0.54,0.41,,0.52,0.81,,0.66,,0.54,0.82,0.62,0.9,0.84,,0.88,,0.63,,
model_116,0.69,,,0.54,0.69,0.75,,,0.71,,,0.3,0.67,0.57,0.82,,0.55,,0.74,,,0.49,,,,0.83,,57.0,0.55,0.6,,0.6,0.68,,0.37,0.59,0.86,0.77,,0.9,,,0.0,0.75,0.51,,,,0.89,,,,,0.87,0.77,,0.44,0.6,0.58,0.74,0.66,0.66,,,0.33,,,,0.59,,,,,0.89,0.81,0.72,0.81,,,,
model_103,0.3,,0.44,,0.5,0.56,0.62,0.67,,,,0.26,,0.48,0.45,0.47,0.4,,0.49,0.26,,,0.4,0.48,0.55,,0.42,25.0,,,,0.41,0.53,0.57,0.3,0.46,,0.55,0.48,,,,,,,,0.46,,0.48,0.58,,0.34,,,0.56,,,0.29,0.49,0.58,0.5,0.58,0.44,0.33,0.27,0.41,0.61,0.41,0.44,,0.39,0.51,,0.69,0.51,0.57,0.57,,,,0.37
model_113,0.62,0.46,,0.52,0.64,,0.72,,0.68,,,,0.62,0.56,0.78,0.58,,0.55,,,,0.43,0.49,,0.62,,0.57,35.0,,,0.59,0.57,0.65,,0.32,0.57,,,,,,0.7,,0.7,0.51,,,,0.79,,0.34,,0.5,,,0.32,0.35,,0.57,,0.64,0.64,,0.49,0.33,0.51,,0.46,0.59,0.68,,0.69,,,,0.72,0.77,,,0.59,
model_144,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,34.0,,0.66,,,,,,,,,,0.79,,,,0.64,,0.62,,,,,,,,,,,,,,,0.69,,,0.38,,,,,,,,,0.44,,,,,,,,
model_42,0.59,0.49,0.66,0.54,0.69,0.68,0.77,0.77,0.73,0.62,0.44,0.37,0.69,0.62,0.76,0.61,0.47,0.58,0.69,0.58,0.57,0.5,0.49,0.65,0.65,0.74,0.57,37.0,,0.61,,,0.69,,,,,,,,,,,,,,,0.21,,,,0.49,0.46,,,,,,,,,,,,,,,,0.64,,0.44,0.75,,,,,,,,,0.46
