,refrigerator,bowl,airplane,motorcycle,frisbee,couch,keyboard,fork,bench,toaster,sink,tennis racket,spoon,truck,carrot,laptop,hot dog,tv,cost,suitcase,mouse,elephant,clock,backpack,bear,orange,sports ball,bird,car,book,oven,banana,tie,kite,person,broccoli,dog,remote,microwave,baseball glove,cat,knife,teddy bear,skis,dining table,apple,baseball bat,stop sign,bus,donut,surfboard,cow,cake,wine glass,sandwich,parking meter,scissors,traffic light,horse,bicycle,fire hydrant,toothbrush,chair,giraffe,pizza,potted plant,umbrella,zebra,vase,toilet,cell phone,boat,handbag,bottle,sheep,cup,snowboard,bed,skateboard,train
model_111,,0.619405,,0.705841,0.8385,0.756318,0.633228,0.887127,,,,,,0.512604,0.407429,0.858453,,,613.0,,,0.791781,,0.415124,,,,0.550032,,0.519882,0.373268,,0.719091,,,,0.648438,0.311124,,,0.602168,0.499312,1.0,,0.689116,,0.676124,,0.880072,,0.663691,0.66841,0.748836,,0.443279,,0.0,0.64851,,,,,,0.91254,0.796611,0.584919,0.524235,0.842372,,,0.521404,,,,0.573827,0.636182,0.348271,,,
model_129,,,,,0.8385,,0.611702,,,,,,,,,,,,389.0,,,,0.828365,,,,,,,0.519882,,0.470473,,0.63616,,0.533442,,,,,0.602168,,,,,,,,,,,,0.735642,,,1.0,,,,,,,,,,,,,0.596177,,,,,0.489154,0.565224,,,,,
model_115,,,,,0.8385,,,0.887127,,,,,,,,,,,373.0,,,,,,,,,0.541275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_101,,,,,,,,0.887127,0.675873,,,,,,,0.858453,,,437.0,,,,,0.415124,0.657567,,,,,,,,,,,,,,,0.586483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_67,0.656698,,0.845976,,,0.681076,,,,0.245638,,0.690256,,,,,,0.729422,2186.0,,,,0.730105,,,,0.646781,,,,,,,,0.762501,,0.778167,,,,,,,,,0.425936,,0.652909,,,0.798939,0.762687,,,,,,,,,0.762163,,,,,,,,0.493439,,,0.643215,,,,0.619937,0.602514,,0.711107,
model_73,,,0.845976,,,,,,,,,,,,,,0.746192,,954.0,,,,0.761156,,,,,,,,0.624632,0.488837,,,,,,,,,,,,0.560627,,,,,,,,,,,,,,,,,,0.364543,,,0.713983,,,,,,,,,,,,,0.711681,,
model_72,,,,,,,,,,,,,,,,,,,1978.0,,,,,,,,,,,,,,,,,,,,0.686129,,,,,,,,,,,,0.829084,,,,,,,,,,,,0.533825,,,,,,,,,0.64638,,,,,,0.711681,,
model_66,,,,,,,0.678583,,,,,,,,,,,,1050.0,,0.72452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600749,,,0.501423,,,,,,,,,,,,,,,,,0.584046,,,,,,
model_99,,,,,,,,,,,,,,,,,,,1866.0,,,0.88501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515231,,,,,,,,,,,
model_100,,,,0.820464,,,0.658625,,,,,,0.400174,,,,0.77064,,1978.0,,,0.88501,0.785519,0.544725,0.873891,,0.7104,,0.720787,,,0.474964,,,,0.497577,0.835172,,,,,,,,0.594346,,0.761975,,0.793714,,,,,,,0.741071,,,,,,,,,,0.506134,,,,,,,,,,,0.618907,0.741334,,
model_114,0.851171,0.608633,,0.69903,0.800386,,0.605484,,,,0.809858,,0.607122,0.496689,0.407429,,0.710219,,965.0,0.565545,0.788476,,,0.415124,,0.619431,,0.550032,,,,,,0.627701,0.740079,,,0.340316,,,0.602168,,,,0.596684,,,0.72919,0.876365,,0.663691,,,,0.443279,,0.0,0.643371,,0.777293,,0.0,,,0.796611,,0.502288,,,,0.521404,0.609665,0.411707,,,,,,0.734181,0.542529
model_128,,,,,,0.756318,,,,,,,,,,,0.710219,,965.0,,,,,,0.725915,,,,,,0.373268,,,,,,,,,0.586483,,,,,,,,,,0.814761,,,,,,,,,,,,,,,0.789631,,,,,,,,,,,0.636182,,,,
model_102,,,,,,,0.611702,,,1.0,,,,,,,,,533.0,0.565545,0.788476,,,,,,,,,,,,,,,,,0.340316,,,,,,0.341317,,,,0.730173,,,,,,0.523759,0.443279,,,,,,,,,,0.796611,0.584919,,,,,,,,,,,,,,
model_116,,,,,,,,,,,,,0.564273,,,,,,357.0,,,,,0.383293,,,,,,,,,,,,,0.648438,,,,,,0.870963,,,,,,0.880072,,,,0.748836,,,,,,0.732686,,0.805357,,,,,,,,,,,,,0.489154,0.565224,,,0.43069,,
model_70,,,,,,0.700535,,,,,,,,,,0.710256,,0.744161,2074.0,,,,,,,0.57989,,,,0.464062,,,,,0.767756,,,,0.686129,,,,0.776121,,,,,,,,,,0.761727,,,,0.501423,,,,0.827788,,,,,,0.595461,,0.515231,0.840454,,,,0.584851,,,0.674593,0.719981,,
model_64,,,,,0.758951,,,,,,,,,,,,,,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_58,,,,,,,,,,,,,0.377104,,,,,,1706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770096,,0.596935,,,,,,,,,,,,,0.615376,,,,,,,,,,0.645551,,,
